query,link,title,media,timestamp
jio merger,https://timesofindia.indiatimes.com/technology/tech-news/reliance-jio-and-disney-star-merger-complete-jiostar-com-is-the-go-to-website-this-means-a-big-not-interested-message-to-/articleshow/115311446.cms,Reliance Jio and Disney Star merger complete: JioStar.com is the go-to website; this means a big ‘Not Int,,15 Nov 2024
jio merger,https://www.india.com/business/mukesh-ambani-gift-to-users-after-jio-disney-merger-as-jiostar-announces-subscription-plans-starting-at-just-rs-15-jiocinema-hotsar-merger-reliance-jio-nita-ambani-jiostar-dot-com-7400053/,Mukesh Ambani's gift to users after Jio-Disney merger as JioStar announces subscription plans starting at jus,,18 Nov 2024
jio merger,https://www.digit.in/news/apps/jio-cinema-to-merge-with-disney-hotstar-what-will-happen-to-movies-shows-and-ipl-streaming.html,"Jio Cinema to merge with Disney+ Hotstar: What will happen to movies, shows and IPL streaming",,20 Oct 2024
jio merger,https://www.cricbuzz.com/cricket-news/132883/jio-and-star-to-operate-as-unified-entity-from-india-england-series,Jio and Star to operate as unified entity from India-England series,,1 month ago
jio merger,https://www.dnaindia.com/business/report-mukesh-ambanis-mega-offer-after-jio-disney-merger-jiostar-plans-starting-at-just-rs-15-3118500,"Mukesh Ambani's MEGA offer after Jio-Disney merger, Jiostar plans starting at just Rs...",,18 Nov 2024
jio merger,https://www.hindustantimes.com/entertainment/reliance-disney-finalise-8-5b-merger-of-indian-assets-no-clarity-if-jiocinema-hotstar-will-merge-into-jiohotstar-101731640686106.html,"Reliance, Disney finalise $8.5B merger of Indian assets; no clarity if JioCinema, Hotstar will merge into JioHotstar",,15 Nov 2024
jio merger,https://www.thehindubusinessline.com/companies/reliance-disney-complete-merger-to-create-85-billion-jv/article68868404.ece,Reliance Jio & Disney star complete merger to create $8.5-bn JV,,15 Nov 2024
jio merger,https://www.indiatoday.in/fact-check/story/reliance-jio-cinema-disney-hotstar-merger-domain-url-anonymous-owner-interview-2622702-2024-10-24,Jio Mere Lal: Meet the secret superstar who outsmarted Reliance and secured JioHotstar.com,,24 Oct 2024
jio merger,https://www.fortuneindia.com/long-reads/reliance-disney-star-merger-why-jiostar-faces-tough-climb-to-content-supremacy/119435,Reliance-Disney-Star merger: Why JioStar faces a tough climb’,,7 Dec 2024
jio merger,https://www.livemint.com/companies/reliancedisney-merger-jiostar-website-goes-live-amid-jiohotstar-domain-saga-11731405960527.html,Reliance-Disney merger: JioStar website goes live amid JioHotstar domain saga,,12 Nov 2024
jio merger,https://www.indiatvnews.com/technology/news/jio-star-website-goes-live-ahead-of-jio-disney-hostar-merger-ends-jio-hotstar-domain-discussion-2024-11-12-961223,"Jio Star website goes live ahead of Jio, Disney+ Hostar merger, ends Jio Hotstar domain discussion",,12 Nov 2024
jio merger,https://inc42.com/features/reliance-disney-merger-whats-happening-behind-the-scenes/,Reliance-Disney Merger: What’s Happening Behind the Scenes?,,7 Nov 2024
jio merger,https://www.businesstoday.in/technology/news/story/reliance-to-retain-disney-hotstar-as-primary-platform-after-star-viacom18-merger-heres-why-451172-2024-10-23,Reliance to retain Disney+ Hotstar as primary platform after JioCinema merger: Report,,23 Oct 2024
jio merger,https://www.afaqs.com/news/media/jiostar-website-goes-live-ahead-of-reliance-disney-star-merger-7574276,JioStar website goes live ahead of Reliance-Disney Star merger,,12 Nov 2024
jio merger,https://brandequity.economictimes.indiatimes.com/news/media/disney-reliance-merger-nears-completion-jio-star-set-to-launch/115240056,"Disney-Reliance merger nears completion, Jio Star set to launch",,13 Nov 2024
jio merger,https://www.indiatoday.in/india/video/reliance-disney-eyes-hotstar-jiocinema-merger-to-revolutionise-indian-streaming-2634252-2024-11-16,"Reliance Disney eyes Hotstar, JioCinema merger to revolutionise Indian streaming - India Today",,16 Nov 2024
jio merger,https://www.indiatvnews.com/technology/news/reliance-to-discontinue-ipl-2025-streaming-on-jio-cinema-following-the-merger-with-hotstar-2024-10-19-957889,Reliance to discontinue IPL 2025 streaming on Jio Cinema following the merger with Hotstar,,19 Oct 2024
jio merger,https://www.hindustantimes.com/entertainment/web-series/delhi-techie-buys-jiohotstar-domain-ahead-of-disney-jio-merger-wants-reliance-to-buy-fund-cambridge-degree-101729739856029.html,"Delhi techie snags ‘JioHotstar’ domain pre-merger, demands Cambridge education funding for sale to Reliance",,24 Oct 2024
jio merger,https://timesofindia.indiatimes.com/technology/tech-news/reliance-disney-hotstar-merger-jiostar-website-shows-coming-soon-is-this-the-companys-keep-it-message-to-/articleshow/115282908.cms,"Reliance-Disney HotStar merger: JioStar website shows 'coming soon', is this the company's 'Not Intereste",,14 Nov 2024
jio merger,https://timesofindia.indiatimes.com/technology/tech-news/reliance-industries-viacom18-and-disney-complete-merger-100-plus-channels-3-ceos-and-5-other-biggest-highlights-of-rs-70000-crore-business/articleshow/115311558.cms,"Reliance Industries, Viacom18 and Disney complete merger: 100-plus channels, 3 CEOs and 5 other biggest h",,16 Nov 2024
